Country,date,type,value
Australia,23/07/2020,Daily ICU occupancy,44
Australia,23/07/2020,Daily ICU occupancy per million,1.681
Australia,23/07/2020,Daily hospital occupancy,217
Australia,23/07/2020,Daily hospital occupancy per million,8.29
Australia,24/07/2020,Daily ICU occupancy,46
Australia,24/07/2020,Daily ICU occupancy per million,1.757
Australia,24/07/2020,Daily hospital occupancy,239
Australia,24/07/2020,Daily hospital occupancy per million,9.13
Australia,25/07/2020,Daily ICU occupancy,46
Australia,25/07/2020,Daily ICU occupancy per million,1.757
Australia,25/07/2020,Daily hospital occupancy,241
Australia,25/07/2020,Daily hospital occupancy per million,9.206
Australia,26/07/2020,Daily ICU occupancy,49
Australia,26/07/2020,Daily ICU occupancy per million,1.872
Australia,26/07/2020,Daily hospital occupancy,259
Australia,26/07/2020,Daily hospital occupancy per million,9.894
Australia,27/07/2020,Daily ICU occupancy,47
Australia,27/07/2020,Daily ICU occupancy per million,1.795
Australia,27/07/2020,Daily hospital occupancy,275
Australia,27/07/2020,Daily hospital occupancy per million,10.505
Australia,28/07/2020,Daily ICU occupancy,46
Australia,28/07/2020,Daily ICU occupancy per million,1.757
Australia,28/07/2020,Daily hospital occupancy,323
Australia,28/07/2020,Daily hospital occupancy per million,12.339
Australia,29/07/2020,Daily ICU occupancy,40
Australia,29/07/2020,Daily ICU occupancy per million,1.528
Australia,29/07/2020,Daily hospital occupancy,330
Australia,29/07/2020,Daily hospital occupancy per million,12.606
Australia,30/07/2020,Daily ICU occupancy,44
Australia,30/07/2020,Daily ICU occupancy per million,1.681
Australia,30/07/2020,Daily hospital occupancy,366
Australia,30/07/2020,Daily hospital occupancy per million,13.982
Australia,31/07/2020,Daily ICU occupancy,50
Australia,31/07/2020,Daily ICU occupancy per million,1.91
Australia,31/07/2020,Daily hospital occupancy,401
Australia,31/07/2020,Daily hospital occupancy per million,15.319
Australia,1/08/2020,Daily ICU occupancy,46
Australia,1/08/2020,Daily ICU occupancy per million,1.757
Australia,1/08/2020,Daily hospital occupancy,408
Australia,1/08/2020,Daily hospital occupancy per million,15.586
Australia,2/08/2020,Daily ICU occupancy,43
Australia,2/08/2020,Daily ICU occupancy per million,1.643
Australia,2/08/2020,Daily hospital occupancy,439
Australia,2/08/2020,Daily hospital occupancy per million,16.77
Australia,3/08/2020,Daily ICU occupancy,44
Australia,3/08/2020,Daily ICU occupancy per million,1.681
Australia,3/08/2020,Daily hospital occupancy,483
Australia,3/08/2020,Daily hospital occupancy per million,18.451
Australia,4/08/2020,Daily ICU occupancy,51
Australia,4/08/2020,Daily ICU occupancy per million,1.948
Australia,4/08/2020,Daily hospital occupancy,566
Australia,4/08/2020,Daily hospital occupancy per million,21.622
Australia,5/08/2020,Daily ICU occupancy,52
Australia,5/08/2020,Daily ICU occupancy per million,1.986
Australia,5/08/2020,Daily hospital occupancy,600
Australia,5/08/2020,Daily hospital occupancy per million,22.921
Australia,6/08/2020,Daily ICU occupancy,51
Australia,6/08/2020,Daily ICU occupancy per million,1.948
Australia,6/08/2020,Daily hospital occupancy,632
Australia,6/08/2020,Daily hospital occupancy per million,24.143
Australia,7/08/2020,Daily ICU occupancy,53
Australia,7/08/2020,Daily ICU occupancy per million,2.025
Australia,7/08/2020,Daily hospital occupancy,659
Australia,7/08/2020,Daily hospital occupancy per million,25.174
Australia,8/08/2020,Daily ICU occupancy,51
Australia,8/08/2020,Daily ICU occupancy per million,1.948
Australia,8/08/2020,Daily hospital occupancy,658
Australia,8/08/2020,Daily hospital occupancy per million,25.136
Australia,9/08/2020,Daily ICU occupancy,56
Australia,9/08/2020,Daily ICU occupancy per million,2.139
Australia,9/08/2020,Daily hospital occupancy,664
Australia,9/08/2020,Daily hospital occupancy per million,25.365
Australia,10/08/2020,Daily ICU occupancy,51
Australia,10/08/2020,Daily ICU occupancy per million,1.948
Australia,10/08/2020,Daily hospital occupancy,673
Australia,10/08/2020,Daily hospital occupancy per million,25.709
Australia,11/08/2020,Daily ICU occupancy,51
Australia,11/08/2020,Daily ICU occupancy per million,1.948
Australia,11/08/2020,Daily hospital occupancy,686
Australia,11/08/2020,Daily hospital occupancy per million,26.206
